1. Raw captured requests total: 923
2. Unique method + full URL count: 256
3. Unique normalized endpoints (method + path template + query shape): 148

4. Category Totals:
   - jobs list/filter          : 8 unique endpoints
   - job detail                : 33 unique endpoints
   - users/assignment          : 10 unique endpoints
   - contacts                  : 15 unique endpoints
   - financials                : 19 unique endpoints
   - documents/files/photos    : 10 unique endpoints
   - notes/activity            : 5 unique endpoints
   - webhook/config            : 1 unique endpoints
   - other                     : 47 unique endpoints

=== FULL DEDUPED INVENTORY TABLE ===
| Category | Method | Normalized Path | Query Params Structure | Type Guess | Count | Example URL |
| notes/activity | GET | /api/jobs/{uuid}/JobMessageFeed | countOnly&sort | json | 1 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/JobMessageFeed?countOnly=true&sort=createdDate%7Cdesc |
| webhook/config | GET | /api/v3/accounting-integration/active-providers | (none) | json | 1 | /api/v3/accounting-integration/active-providers |
| other | POST | /api/v1/sockets/poll/{id} | m&socketKey&t&v | json | 39 | /api/v1/sockets/poll/1312?t=1773127152628&v=1.05.1547.002&m=i&socketKey=4!1.4G%2FQCcv0ZNaDF5HwlekHHgy7K8WX9h6pgWNGHwc81Yzffc1eZfp7moLAWhsHWl9QdgHkffT6qEKfrnwATMWaiw%3D%3D.KO07lL4Cb9lmPS89gL%2BDATcTyOqHEBqpRHT8g5UwfyQ%3Dt520 |
| other | GET | /api/v4/atme/view-unacknowledge-type-counts | (none) | json | 10 | /api/v4/atme/view-unacknowledge-type-counts |
| other | GET | /api/v3/ably/authenticate | rnd | json | 5 | /api/v3/ably/authenticate?rnd=3168942400294955 |
| other | GET | /api/dashboard/GetCurrentPipeline | (none) | json | 1 | /api/dashboard/GetCurrentPipeline |
| other | GET | /api/dashboard/GetSalesLeaderBoard | endDate&startDate | json | 1 | /api/dashboard/GetSalesLeaderBoard?endDate=2026-04-01&startDate=2026-03-01 |
| other | GET | /api/v3/dashboard/action-items | (none) | json | 1 | /api/v3/dashboard/action-items |
| other | GET | /api/v3/dashboard/accounts-receivable | (none) | json | 1 | /api/v3/dashboard/accounts-receivable |
| other | POST | /api/v1/sockets/connect | m&t&v | json | 5 | /api/v1/sockets/connect?t=1773127202378&v=1.05.1547.002&m=d |
| other | POST | /api/v1/sockets/connectStatus | m&t&v | json | 3 | /api/v1/sockets/connectStatus?t=1773127202562&v=1.05.1547.002&m=d |
| other | GET | /api/v3/features/is-allowed | featureKey | json | 50 | /api/v3/features/is-allowed?featureKey=Custom_Fields_DetailsPane |
| other | GET | /api/CreateLead/canDistribute | (none) | json | 2 | /api/CreateLead/canDistribute |
| other | GET | /api/v3/leads/dead-reasons | (none) | json | 4 | /api/v3/leads/dead-reasons |
| other | GET | /api/CreateLead/isInsuranceEnabled | (none) | json | 2 | /api/CreateLead/isInsuranceEnabled |
| other | GET | /api/v1/sockets/poll/{id} | m&socketKey&t&v | json | 13 | /api/v1/sockets/poll/1312?t=1773127228794&v=1.05.1547.002&m=d&socketKey=4!1.4P4Aer%2FKSBUxYoDoGrQkvEzbOA9oZ3EZQJkdmAOr%2Fzb0quj188w%2FD4mD76MBIx%2FirSpo5kPilK1G7m9pe6Rz7Q%3D%3D.XXPrJ%2B6MqUg6htcw7qpRg1tc3xadlBfBZpIPkBYpwRU%3Dt520 |
| other | GET | /api/v4/tasks/ | jobId | json | 2 | /api/v4/tasks/?jobId=ea2d3425-8049-4902-9632-3e9df8043d7b |
| other | GET | /api/v4/tasks/completed | jobId | json | 2 | /api/v4/tasks/completed?jobId=ea2d3425-8049-4902-9632-3e9df8043d7b |
| other | GET | /api/v3/lead-intelligence/get-score/{uuid} | (none) | json | 2 | /api/v3/lead-intelligence/get-score/ea2d3425-8049-4902-9632-3e9df8043d7b |
| other | GET | /api/measurement/GetEagleviewOrders | jobID | json | 2 | /api/measurement/GetEagleviewOrders?jobID=ea2d3425-8049-4902-9632-3e9df8043d7b |
| other | GET | /api/v3/viewentities/messaging/{id}/description/{uuid} | (none) | json | 1 | /api/v3/viewentities/messaging/20/description/ea2d3425-8049-4902-9632-3e9df8043d7b |
| other | GET | /api/v4/communications/tags | (none) | json | 23 | /api/v4/communications/tags |
| other | GET | /api/v3/marketplace/addons | (none) | json | 1 | /api/v3/marketplace/addons |
| other | GET | /api/v4/communications/preferences | (none) | json | 1 | /api/v4/communications/preferences |
| other | POST | /api/v4/communications/preferences | (none) | json | 2 | /api/v4/communications/preferences |
| other | GET | /api/Company/Trades | (none) | json | 3 | /api/Company/Trades |
| other | GET | /api/Template/GetTemplates | (none) | json | 3 | /api/Template/GetTemplates |
| other | GET | /api/Template/GetMeasurements | (none) | json | 1 | /api/Template/GetMeasurements |
| other | GET | /api/Catalog/GetUnits | (none) | json | 2 | /api/Catalog/GetUnits |
| other | GET | /api/v3/permissions/{uuid}/isallowed | (none) | json | 7 | /api/v3/permissions/60A15C76-1A41-4CE5-9380-9D3B554282E9/isallowed |
| other | GET | /api/v3/trades | (none) | json | 1 | /api/v3/trades |
| other | GET | /api/v3/accountsettings/get-worksheet-default-type | (none) | json | 1 | /api/v3/accountsettings/get-worksheet-default-type |
| other | GET | /api/quickbooks/connection-status | jobId | json | 1 | /api/quickbooks/connection-status?jobId=ea2d3425-8049-4902-9632-3e9df8043d7b |
| other | GET | /api/OrdersList/{uuid}/GetPartialOrders | (none) | json | 1 | /api/OrdersList/ea2d3425-8049-4902-9632-3e9df8043d7b/GetPartialOrders |
| other | GET | /api/OrdersList/GetOrderStatuses | (none) | json | 1 | /api/OrdersList/GetOrderStatuses |
| other | GET | /api/Template/GetSlopeCalculationSettings | (none) | json | 1 | /api/Template/GetSlopeCalculationSettings |
| other | GET | /api/Orders/{uuid} | (none) | json | 1 | /api/Orders/1997c542-6386-18a7-5e46-5af54e6f7a30 |
